"Mega Agent Rental Management","Not stated","2635 Valleydale Rd #200, Birmingham, AL 35244","N/A","(205) 267-1520","https://megaagentrentals.com/"
"Transform Real Estate & Property Management","Not stated","1 Chase Corporate Dr #400, Hoover, AL 35244","info@transformrealestatepm.com","(205) 774-8824","http://www.transformrealestatepm.com/"
"Blueprint Property Management","Not retrievable (Cloudflare block)","1933 Richard Arrington Jr Blvd S Ste. 223, Birmingham, AL 35209","N/A","(205) 210-8048","https://blueprintmgmt.net/"
"Abode Property Management (NW) Ltd","Tracy (Director)","117 Ducie St, Manchester M1 2JW, UK","N/A","+44 161 883 1886","https://www.abodeltd.co.uk/"
"Blue Door Living Property Management","Not stated","865 Second St, Suite 11, Manchester, NH 03102","sales@bluedoorliving.org","(603) 965-2131","http://bluedoorliving.org/"
"Mill City Property Management","Chris DuPaul (owner/principal)","182 Prospect St, Manchester, NH 03104","manager@millcitypm.com","(603) 782-3367","https://www.millcitypm.com/"
"Zest Property Management","Not stated (division of Multi-Let Area One Ltd)","Digital World Centre, 1 Lowry Plaza, The Quays, Manchester M50 3UB, UK","N/A","+44 330 660 0589","http://zestpropertymanagement.co.uk/"
"NPP Residential","Not stated (multi-award team)","22 Lloyd St, Manchester M2 5WA, UK","info@nppresidential.co.uk","+44 161 639 0059","http://www.nppresidential.co.uk/"
"Edward Carter Properties - Manchester","Not stated (40+ yrs experience)","125 Deansgate, Manchester M3 2BY, UK","info@edward-carter.co.uk","+44 161 401 1234","http://www.edward-carter.co.uk/"
"Manlets – Best Letting Agents and Property Management – Manchester","Not retrievable (aggregator link)","Bridgewater House, Manchester M1 6LT, UK","N/A","+44 161 238 8978","https://www.deskjock.reviews/manlets.com/top5"
"Premier Residential Lettings & Estate Agents in Manchester","Not stated","16 Commercial St, Manchester M15 4PZ, UK","N/A","+44 161 641 4624","https://www.premierresidential.co.uk/"
"Stevenson Whyte Block Management Manchester","Not stated (est. 2011)","Unit 7, 5 Blantyre St, Manchester M15 4JJ, UK","N/A","+44 161 832 5060","https://stevensonwhyteblockmanagement.co.uk/"
"Superhost Plus","Chris Pitzioris (Founder)","82 King St, Manchester M2 4WQ, UK","N/A","+44 161 818 9978","https://www.superhostplus.com/l/manchester-airbnb-management/"
"Cityscape Property","Not retrievable (Cloudflare block)","20-23 Woodside Pl, Glasgow G3 7QL, UK","N/A","+44 141 354 1680","http://www.cityscapeproperty.co.uk/"
"Park Property Management Ltd (PF000423)","Paul McDermott (Founder/Director)","8 Seaward Pl, Glasgow G41 1HH, UK","support@parkpm.co.uk","+44 141 354 6536","https://www.parkpm.co.uk/"
"Western Lettings Glasgow Letting Agents","Not stated (18+ yrs, named managers)","Ste 5, Platinum House, 23 Eagle St, Glasgow G4 9XA, UK","N/A","+44 141 357 0436","https://www.westernlettings.co.uk/"
"Maclay Property Sales & Letting","Not stated (Alison is key agent)","126 W Regent St, Glasgow G2 2RQ, UK","info@maclayproperty.co.uk","+44 141 222 5970","https://www.maclayproperty.co.uk/"
"Buchanan Residential Property Management & Letting Agents in Glasgow","Not stated","2/3, 48 W George St, Glasgow G2 1BP, UK","lettings@buchananresidential.co.uk","+44 141 258 2788","https://buchananresidential.co.uk/"
"Shafaatulla Property Management","Shafaatulla (owner/founder, per company name)","711 Pollokshaws Rd, Glasgow G41 2AA, UK","info@spmglasgow.co.uk","+44 141 404 5457","http://www.spmglasgow.co.uk/"
"Let Us","Not retrievable (timed out)","190 W George St, Glasgow G2 2NR, UK","N/A","+44 141 459 0252","http://www.letus.co.uk/"
"Douglas Dickson Property Management","Not stated (family-owned)","3 Fitzroy Pl, Finnieston, Glasgow G3 7RH, UK","info@douglasdickson.co.uk","+44 141 221 1827","http://douglasdickson.co.uk/"
"Chalmers Properties Glasgow Letting Agent","Chris/Christopher (principal, 20+ yrs)","142 W Nile St, Glasgow G1 2RQ, UK","N/A","+44 141 530 3133","https://chalmersproperties.co.uk/"
"Arc Property","Nick Ponty (Founder)","2nd Floor, Clyde Offices, 48 W George St, Glasgow G2 1BP, UK","info@arcproperty.uk","+44 141 266 0150","http://www.arcproperty.uk/"
"Central Property Management","Not stated","Central Docks, 5 Jesse Hartley Wy, Liverpool L3 0AQ, UK","N/A","+44 151 372 3700","https://www.cpmliverpool.com/"
"Lewis & Foy Lettings","William Lewis (Director)","34 Parliament St, Liverpool L8 5RW, UK","office@lewisfoylettings.co.uk","+44 151 438 6473","https://www.lewisfoylettings.co.uk/"
"Oxygen Property Partners Ltd.","Not retrievable (no website)","29 Rodney St, Liverpool L1 9EH, UK","N/A","+44 7396 769123","N/A"
"City Residential","Alan Bevan (Managing Director)","81-87 Victoria St, Liverpool L1 6DG, UK","sales@cityresidential.co.uk","+44 151 231 6100","https://www.cityresidential.co.uk/"
"Hinkley Homes","Not stated (founded 2021)","30 Rodney St, Liverpool L1 2TQ, UK","N/A","+44 121 663 6936","https://hinkleyhomes.co.uk/"
"Liverpool Residential","Not stated (director-operated, 45+ yrs)","31 High St, Liverpool L15 8HE, UK","info@liverpoolresidential.com","+44 151 322 2003","http://www.liverpoolresidential.com/"
"Amazon Management Services","Steve / Sue (managers per reviews)","Suite 2, 2nd Floor, Helix, Edmund St, Liverpool L3 9NY, UK","info@amazonmanagementservices.co.uk","+44 151 531 9329","http://www.amazonmanagementservices.co.uk/"
"Belvoir Liverpool Central","Not retrievable (Cloudflare block)","20 Sir Thomas St, Liverpool L1 6BW, UK","N/A","+44 151 231 1613","https://www.belvoir.co.uk/liverpoolcentral"
"C & D Properties","Not stated (25 yrs established)","65 Tithebarn St, Liverpool L2 2EN, UK","N/A","+44 151 236 6611","http://www.cdproperties.co.uk/"
"Now Rooms Liverpool","Brett Fidge (Director/Founder)","Rupert House, 36-38 Breckfield Rd N, Liverpool L5 4NH, UK","info@nowroomsliverpool.co.uk","+44 151 601 2858","https://nowrooms.co.uk/"
"Redbrick Properties - Letting Agents Leeds","Not stated (20+ yrs; author Richard Laverty)","77 Otley Rd, Headingley, Leeds LS6 3PS, UK","info@redbrickproperties.co.uk","+44 113 230 5552","https://www.redbrickproperties.co.uk/"
"Zenko City Living Leeds","Tobias Duczenko (Managing Director, Owner)","Graphical House, 2 Wharf St, Leeds LS2 7EQ, UK","info@zenkoproperties.co.uk","+44 113 247 0777","http://www.zenkocityliving.co.uk/"
"Pass The Property","Parminder Chana & Harminder Chana (Founders/Directors)","33 Great George St, Leeds LS1 3BB, UK","info@passtheproperty.co.uk","+44 333 301 0787","https://www.passtheproperty.co.uk/"
"Monroe Lettings and Property Management Ltd.","Not stated (registered 2023; team page)","Unit A, Springwell Gardens, Whitehall Rd, Leeds LS12 1FJ, UK","N/A","+44 113 350 0866","https://www.monroelettings.com/"
"Trust Property Management","Not stated (family-run)","1 Walmsley Rd, Leeds LS6 1NG, UK","info@trustproperties.co.uk","+44 113 274 0611","http://www.trustproperties.co.uk/"
"Moody & Co","Joshua Page (landlord-run, per testimonial)","Third Floor, 60 Wellington St, Leeds LS1 2EE, UK","N/A","N/A","http://moodyandco.co.uk/"
"Lets Live Leeds","Not stated (est. 2011)","2 Regent Rd, Horsforth, Leeds LS18 4NP, UK","hello@letsliveleeds.com","+44 113 887 8605","https://www.letsliveleeds.com/"
"Riverbend Property Management","Not stated","239 Titcomb Hill Rd, Farmington, ME 04938","N/A","(207) 778-6088","http://riverbendmaine.com/"
"Action Property Management","Not stated (family-owned)","1 Dock St, Leeds LS10 1NA, UK","N/A","+44 113 244 2210","https://www.actionpropertymanagement.co.uk/"
"Legend Property Management, LLC","Not stated","Unknown","N/A","(508) 556-7379","https://www.legendpm.com/"
"Sheffield Property Management","Not stated","2920 Edgewood Cir Suite 17, Columbus, GA 31906","N/A","(706) 940-6940","https://sheffieldpropertymanagement.org/"
"Belvoir Estate and Lettings Agency Sheffield","Not retrievable (Cloudflare block)","34 Campo Ln, Sheffield S1 2EG, UK","N/A","+44 114 252 5215","https://www.belvoir.co.uk/offices/sheffield"
"Jade Property Management Ltd","Alex Jones (key manager/principal)","Unit 7, EDMUND ROAD BUSINESS CENTRE, 135 Edmund Rd, Sheffield S2 4ED, UK","info@jadeproperties.co.uk","+44 114 317 7900","https://jadeproperties.co.uk/"
"Haybrook lettings agents Sheffield (Lettings)","Not stated (Spicerhaart group)","43-45 Church St, Sheffield City Centre, Sheffield S1 2GL, UK","N/A","+44 114 273 7241","https://www.haybrook.com/"
"Horizon Management","Katie & Chris (directors per reviews)","Aizlewoods Mill, Nursery St, Sheffield S3 8GG, UK","N/A","+44 300 030 1035","https://horizonmanagement.co.uk/"
"Property Stack","Not retrievable (JS challenge)","1 New Era Square, Highfield, Sheffield S2 4RB, UK","N/A","+44 7458 329219","https://www.property-stack.co.uk/"
"Global Letting Property Management Ltd","Not stated (30+ yrs collective)","92 Owler Ln, Sheffield S4 8GA, UK","info@globalletting.co.uk","+44 114 243 0786","https://www.globalletting.co.uk/"
"MBA Lettings & Property Management","Not stated (15+ yrs)","221 Fulwood Rd, Sheffield S10 3BA, UK","N/A","+44 114 267 6267","http://www.mbalettings.com/"
"P J Properties","Not stated (family-run since 1983)","194 Whitham Rd, Broomhill, Sheffield S10 2SS, UK","N/A","+44 114 266 7666","http://www.pjproperties.co.uk/"
"Horizon Lets","Chris & Alex (founders per reviews)","Aizlewoods Mill, Nursery St, Sheffield S3 8GG, UK","hello@horizonlets.com","+44 333 577 2118","https://horizonlets.com/"
"Clouds Property Management","Not stated (30 yrs experience)","18 Forth St, Edinburgh EH1 3LH, UK","info@clouds.co.uk","+44 131 550 3808","http://www.clouds.co.uk/"
"Southside Property Management","John Davidson (founder)","20 Nicolson St, Edinburgh EH8 9DH, UK","enquiries@southsidemanagement.com","+44 131 510 0051","https://southsidemanagement.com/"
"Pure Property Management","James & Kristin (family-run)","141 Gilmore Pl, Edinburgh EH3 9PW, UK","N/A","+44 131 656 0390","http://www.purepropertymanagement.com/"
"Glenham Property Management","Miles, Amanda, Charlie (directors/team)","2 1F, Atholl Pl, Edinburgh EH3 8HP, UK","enquiries@glenhamproperty.co.uk","+44 131 557 5101","https://www.glenhamproperty.co.uk/"
"Cullen Property","Not stated (Trio Team model; est. 1998)","30 Rutland Square, Edinburgh EH1 2BW, UK","enquiries@cullenproperty.com","+44 131 221 1818","https://www.cullenproperty.com/"
"More Management & Lettings","Murray More (owner/founder)","40 Dundas St, Edinburgh EH3 6JN, UK","info@more-management.co.uk","+44 131 378 2997","http://www.more-management.co.uk/"
"At Home In Edinburgh","Vicky McCann & Rick McCann (Directors)","39 Warrender Park Rd, Edinburgh EH9 1EU, UK","N/A","+44 131 229 4001","https://www.athomeinedinburgh.co.uk/"
"Property First Edinburgh","Not stated","24 Angle Park Terrace, Edinburgh EH11 2JT, UK","admin@propertyfirstedinburgh.com","+44 131 370 4404","http://www.propertyfirstedinburgh.com/"
"Arden Property Management","Not stated (est. 2006; Ali/Malcolm are managers)","43 Morningside Rd, Edinburgh EH10 4DR, UK","info@ardenpm.co.uk","+44 131 516 8159","http://www.ardenpm.co.uk/"
"Clan Gordon Letting Agents","Jonathan Gordon (founder)","Level 5, Sugarbond, 2 Anderson Pl, Edinburgh EH6 5NP, UK","N/A","+44 131 555 4444","https://clangordon.co.uk/"
"KPA Property Management","Not stated (landlord-founded; Andy Collett is client)","2430-2440 The Quadrant, Aztec West, Bristol BS32 4AQ, UK","N/A","+44 117 440 6789","http://www.kpa.co.uk/"
"Abode Property Management","Not stated","132 Whiteladies Rd, Bristol BS8 2RS, UK","info@yourabode.co.uk","+44 117 973 8866","https://www.yourabode.co.uk/"
"Bristol Property Management","Not stated","67 Constitution St, Bristol, RI 02809","N/A","N/A","https://www.bristolpropertymanagement.com/"
"House + Co Property","Not stated (26+ yrs)","191-193 Church Rd, Bristol BS5 9HG, UK","sales@houseandco.uk","+44 117 902 6409","http://www.houseandco.uk/"
"DPJ Property Management","Mike (per site testimonial)","Unknown","N/A","+44 117 409 0119","https://dpjproperty.co.uk/"
"Bristol Property Management, Inc.","Not stated","2920 De La Vina St, Santa Barbara, CA 93105","N/A","(805) 963-5945","http://www.bristolsb.com/"
"Miller Independent Property Management Ltd","Georgie Miller (Owner)","43 Belluton Rd, Bristol BS4 2DN, UK","N/A","+44 7503 580864","https://www.milleripm.co.uk/"
"PJP Property Management Ltd","Not retrievable (Cloudflare block)","CEED, 97-107 Wilder St, Bristol BS2 8QU, UK","N/A","+44 117 370 6452","http://www.patrickjamesproperty.co.uk/"
"EasierManagement | Airbnb Management Bristol","Fabian (Director/Founder)","Bristol, UK","info@easiermanagement.co.uk","+44 7399 564242","http://www.easiermanagement.co.uk/"
"Real Property Management Silverstone","Not stated","872 E Auburn Rd, Rochester Hills, MI 48307","N/A","(586) 992-6419","https://www.rpmsilverstone.com/"
"Seraph Property Management","Not stated (handpicked team)","St Martins Row, 1, Cardiff CF24 3RP, UK","N/A","+44 29 2167 1444","https://www.seraph.pm/"
"Parker Property Management","Not stated","Unknown","N/A","+44 7399 230392","https://parkerpropertymanagement.my.canva.site/"
"Albany Property Services","Not stated","2 MacKintosh Pl, Cardiff CF24 4RQ, UK","N/A","+44 29 2021 1081","N/A"
"The Gray House Lettings & Property Management Limited","Michelle Barber (Owner)","102/104 Caerphilly Rd, Birchgrove, Cardiff CF14 4AG, UK","info@thegrayhouse.co.uk","+44 29 2069 2222","http://www.thegrayhouse.co.uk/"
"Savills Cardiff Estate Agents","Not stated (large corporate)","2 Kingsway, Cardiff CF10 3FD, UK","N/A","+44 29 2036 8900","https://www.savills.co.uk/"
"CF24 Property Services","Not stated","158 Whitchurch Rd, Cardiff CF14 3NF, UK","N/A","+44 29 2115 3307","http://www.cf24.co.uk/"
"Maison","Not retrievable (site timed out)","50 Severn Grove, Pontcanna, Cardiff CF11 9EN, UK","N/A","+44 29 2009 0700","http://www.maison.wales/"
"Hafren Properties Cardiff Estate Agents","Not stated","209 Penarth Rd, Cardiff CF11 6FR, UK","N/A","+44 29 2023 3399","http://www.hafrenproperties.co.uk/"
"Pass the Keys - Cardiff","Ben Simmons (Local Manager)","Unknown","info@passthekeys.com","+44 20 8050 2818","http://www.passthekeys.com/cardiff"
"Western Permanent Property","Karl Ashton / Alan Hopkins / Iwan Thomas / Robert Elliott-Rayer (Property Managers)","46 Whitchurch Rd, Cardiff CF14 3LX, UK","info@wppmc.com","+44 29 2023 5151","https://www.wppmc.com/"
